gender,season,status,reason,train_rows,val_rows,test_rows,val_brier,test_brier,test_logloss,test_auc
men,2018,passed,,1828.0,134.0,134.0,0.20048705124822766,0.20995359969872374,0.6104874393786501,0.7288928491869013
men,2019,passed,,1962.0,134.0,134.0,0.2117666887829008,0.18064126282527015,0.541454361793896,0.8202272220984629
men,2021,skipped,val_rows_empty,,,,,,,
men,2022,passed,,2230.0,132.0,134.0,0.21096624740154193,0.2289388547958133,0.6482205632483926,0.6789930942303408
men,2023,passed,,2362.0,134.0,134.0,0.2105695707520369,0.20961300801027685,0.6075615168095727,0.7320115838716864
men,2024,passed,,2496.0,134.0,134.0,0.20387851132751766,0.20628991642425665,0.5963152772759837,0.742704388505235
men,2025,passed,,2630.0,134.0,134.0,0.19982406266268044,0.1586106478195743,0.4869538567756196,0.8627756738694586
women,2018,passed,,882.0,126.0,126.0,0.17609248144779396,0.16349995727665595,0.4915358039787295,0.8463088939279415
women,2019,passed,,1008.0,126.0,126.0,0.1535532319933999,0.13377269065235312,0.4124077117423289,0.8914084152179391
women,2021,skipped,val_rows_empty,,,,,,,
women,2022,passed,,1260.0,126.0,134.0,0.17080260475996248,0.1841424216888658,0.5438471582055416,0.7966139451993762
women,2023,passed,,1386.0,134.0,134.0,0.18546606660845305,0.17721032984595972,0.5252537880920547,0.8151035865448876
women,2024,passed,,1520.0,134.0,134.0,0.18208754494163673,0.13817680620381065,0.4356911771436027,0.8993094230340833
women,2025,passed,,1654.0,134.0,134.0,0.1262333832709463,0.1393620133857836,0.42229471552252146,0.8834929828469592
