gender,split,bin_left,bin_right,sample_count,pred_mean,actual_rate,gap
men,Train,0.0,0.1,116,0.08216248444468094,0.017241379310344827,0.0649211051343361
men,Train,0.1,0.2,239,0.154993022228865,0.012552301255230125,0.14244072097363486
men,Train,0.2,0.3,348,0.25076818124127787,0.04597701149425287,0.204791169747025
men,Train,0.3,0.4,308,0.347284164782443,0.1525974025974026,0.1946867621850404
men,Train,0.4,0.5,243,0.44845646670900585,0.3950617283950617,0.053394738313944146
men,Train,0.5,0.6,235,0.5525707601058205,0.5914893617021276,-0.03891860159630711
men,Train,0.6,0.7,319,0.6530269739850092,0.8683385579937304,-0.2153115840087212
men,Train,0.7,0.8,329,0.7478230415590541,0.9513677811550152,-0.2035447395959611
men,Train,0.8,0.9,216,0.8447529006233562,0.9907407407407407,-0.14598784011738453
men,Train,0.9,1.0,143,0.9199908559350404,0.986013986013986,-0.06602313007894567
men,Val,0.0,0.1,3,0.08916463648763394,0.0,0.08916463648763394
men,Val,0.1,0.2,17,0.15294678007026924,0.23529411764705882,-0.08234733757678958
men,Val,0.2,0.3,11,0.25452187457881387,0.2727272727272727,-0.01820539814845884
men,Val,0.3,0.4,18,0.3467459087385014,0.3333333333333333,0.013412575405168103
men,Val,0.4,0.5,17,0.45351343433323155,0.29411764705882354,0.159395787274408
men,Val,0.5,0.6,17,0.5472233673761846,0.5882352941176471,-0.04101192674146248
men,Val,0.6,0.7,20,0.6533797707411819,0.75,-0.09662022925881808
men,Val,0.7,0.8,13,0.7457470573074301,0.6923076923076923,0.05343936499973778
men,Val,0.8,0.9,13,0.8503481147131582,0.8461538461538461,0.004194268559312042
men,Val,0.9,1.0,5,0.9160805026286767,0.8,0.11608050262867664
men,Test,0.0,0.1,13,0.08231660737408264,0.0,0.08231660737408264
men,Test,0.1,0.2,20,0.1487221881848133,0.1,0.0487221881848133
men,Test,0.2,0.3,33,0.25041973261354805,0.24242424242424243,0.00799549018930562
men,Test,0.3,0.4,38,0.3562318326417265,0.3684210526315789,-0.012189219989852451
men,Test,0.4,0.5,37,0.45081793391943475,0.4864864864864865,-0.03566855256705176
men,Test,0.5,0.6,27,0.5611055309088454,0.6296296296296297,-0.06852409872078424
men,Test,0.6,0.7,33,0.6592080450593265,0.6060606060606061,0.05314743899872043
men,Test,0.7,0.8,32,0.743330011219143,0.71875,0.024580011219142994
men,Test,0.8,0.9,19,0.8410734156554893,0.8421052631578947,-0.0010318475024053697
men,Test,0.9,1.0,16,0.9172537213258306,1.0,-0.0827462786741694
women,Train,0.0,0.1,0,,,
women,Train,0.1,0.2,324,0.1373343227360094,0.006172839506172839,0.13116148322983656
women,Train,0.2,0.3,178,0.2515718192296305,0.016853932584269662,0.23471788664536086
women,Train,0.3,0.4,142,0.34738497931621043,0.1619718309859155,0.18541314833029493
women,Train,0.4,0.5,104,0.4449737640403909,0.27884615384615385,0.16612761019423705
women,Train,0.5,0.6,122,0.5449647323340688,0.6147540983606558,-0.06978936602658692
women,Train,0.6,0.7,143,0.6509776592024932,0.9090909090909091,-0.2581132498884159
women,Train,0.7,0.8,190,0.7470356493422496,0.9736842105263158,-0.22664856118406618
women,Train,0.8,0.9,317,0.863158842131862,0.9873817034700315,-0.12422286133816951
women,Train,0.9,1.0,0,,,
women,Val,0.0,0.1,0,,,
women,Val,0.1,0.2,23,0.13406002707243944,0.08695652173913043,0.04710350533330901
women,Val,0.2,0.3,11,0.2540701090777812,0.18181818181818182,0.07225192725959939
women,Val,0.3,0.4,13,0.34775085564817826,0.38461538461538464,-0.03686452896720638
women,Val,0.4,0.5,22,0.4411585888581851,0.5454545454545454,-0.10429595659636032
women,Val,0.5,0.6,14,0.5391020717336982,0.35714285714285715,0.18195921459084102
women,Val,0.6,0.7,18,0.6391183911261352,0.6666666666666666,-0.02754827554053141
women,Val,0.7,0.8,11,0.7277619154718714,0.7272727272727273,0.0004891881991441194
women,Val,0.8,0.9,22,0.8663141334090297,0.9545454545454546,-0.08823132113642485
women,Val,0.9,1.0,0,,,
women,Test,0.0,0.1,0,,,
women,Test,0.1,0.2,46,0.13582718274828282,0.0,0.13582718274828282
women,Test,0.2,0.3,24,0.2588225712499567,0.16666666666666666,0.09215590458329007
women,Test,0.3,0.4,28,0.34452015111447803,0.2857142857142857,0.058805865400192336
women,Test,0.4,0.5,33,0.4512198244848626,0.45454545454545453,-0.003325630060591944
women,Test,0.5,0.6,36,0.5414383795913198,0.5277777777777778,0.013660601813542006
women,Test,0.6,0.7,32,0.6445410217959822,0.78125,-0.13670897820401784
women,Test,0.7,0.8,25,0.75290173864727,0.8,-0.0470982613527301
women,Test,0.8,0.9,44,0.8636836976300131,0.9772727272727273,-0.11358902964271422
women,Test,0.9,1.0,0,,,
